"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","X.1","Hospital_Cumulative","IC_Intake_Proven_Cumsum","ic_intake_nice"
2020-11-19,7,12,9,1,575,76,5201,1632,1369,2839,319,19,10,3108,120,NA,23408,4882,25
2020-11-20,15,15,7,1,567,76,5240,1578,1382,2866,323,30,8,3104,122,NA,23586,4916,39
2020-11-21,13,13,7,0,564,76,5271,1524,1393,2886,327,26,7,3098,125,NA,23687,4940,31
2020-11-22,12,16,9,1,556,76,5292,1522,1404,2894,333,28,10,3111,124,NA,23800,4962,21
2020-11-23,15,5,5,1,556,76,5316,1560,1422,2908,330,20,6,3113,123,NA,23969,4983,24
2020-11-24,16,21,9,1,542,76,5347,1570,1441,2938,323,37,10,3142,122,NA,24205,5013,31
2020-11-25,7,14,14,0,548,76,5380,1545,1453,2959,319,21,14,3137,123,NA,24319,5045,33
2020-11-26,20,14,9,0,544,76,5417,1519,1470,2993,310,34,9,3150,122,NA,24442,5083,37
2020-11-27,11,13,3,0,540,76,5445,1542,1482,3015,306,24,3,3175,122,NA,24619,5109,28
2020-11-28,10,11,5,1,528,76,5465,1504,1489,3034,303,21,6,3181,123,NA,24735,5126,20
2020-11-29,9,12,7,0,518,76,5483,1463,1499,3047,310,21,7,3178,122,NA,24797,5143,18
2020-11-30,14,18,7,1,512,76,5509,1494,1513,3059,325,32,8,3185,120,NA,24916,5167,26
2020-12-01,11,20,9,0,504,76,5537,1442,1525,3081,319,31,9,3186,122,NA,25050,5197,28
2020-12-02,8,11,10,0,501,77,5565,1408,1533,3095,330,19,10,3183,120,NA,25165,5228,28
2020-12-03,15,7,9,0,487,76,5585,1389,1547,3115,328,22,9,3177,120,NA,25316,5250,20
2020-12-04,14,16,8,0,488,76,5617,1394,1553,3126,335,30,8,3200,123,NA,25512,5277,32
2020-12-05,7,11,3,1,486,75,5640,1403,1564,3150,323,18,4,3220,124,NA,25653,5298,23
2020-12-06,18,8,6,0,494,75,5662,1440,1569,3156,324,26,6,3206,126,NA,25754,5317,22
2020-12-07,15,8,1,0,491,75,5690,1476,1586,3164,333,23,1,3204,124,NA,25986,5346,28
2020-12-08,14,11,10,1,485,75,5723,1510,1598,3186,338,25,11,3221,122,NA,26192,5379,33
2020-12-09,15,20,5,0,476,75,5754,1537,1612,3205,336,35,5,3259,121,NA,26353,5407,31
2020-12-10,9,11,8,1,491,76,5802,1508,1624,3225,346,20,9,3254,126,NA,26468,5449,48
2020-12-11,22,16,7,3,488,76,5834,1536,1633,3240,350,38,10,3279,129,NA,26671,5478,32
2020-12-12,15,10,4,1,496,76,5862,1590,1640,3259,336,25,5,3305,126,NA,26980,5504,28
2020-12-13,17,7,7,1,500,77,5884,1596,1644,3265,342,24,8,3295,126,NA,27096,5526,22
2020-12-14,25,22,3,3,515,76,5927,1733,1654,3272,353,47,6,3319,128,NA,27362,5562,43
2020-12-15,24,15,15,4,531,76,5976,1811,1661,3298,359,39,19,3331,134,NA,27632,5602,49
2020-12-16,25,20,10,2,537,77,6013,1859,1670,3330,343,45,12,3341,129,NA,27886,5645,37
2020-12-17,21,13,14,3,549,77,6048,1834,1685,3358,329,34,17,3302,127,NA,28051,5683,35
2020-12-18,28,20,12,0,565,78,6092,1930,1693,3386,316,48,12,3345,127,NA,28342,5726,44
2020-12-19,9,12,8,3,574,78,6129,1921,1699,3399,327,21,11,3348,135,NA,28512,5753,37
2020-12-20,16,9,14,0,587,78,6166,1958,1707,3403,336,25,14,3346,130,NA,28642,5795,37
2020-12-21,29,26,9,1,614,77,6239,2042,1726,3421,350,55,10,3403,133,NA,28925,5858,73
2020-12-22,29,16,13,1,602,77,6274,2061,1741,3497,295,45,14,3417,131,NA,29212,5894,35
2020-12-23,24,15,15,0,602,77,6309,2115,1749,3525,288,39,15,3379,130,NA,29474,5929,35
2020-12-24,17,26,15,1,624,77,6365,2155,1757,3547,293,43,16,3413,130,NA,29750,5978,56
2020-12-25,28,18,7,2,622,77,6397,2140,1768,3565,302,46,9,3411,133,NA,29961,6009,32
2020-12-26,22,18,13,2,630,77,6445,2180,1781,3575,311,40,15,3424,136,NA,30154,6050,48
2020-12-27,25,9,17,0,647,77,6497,2199,1791,3590,320,34,17,3409,135,NA,30316,6094,52
2020-12-28,56,29,21,2,664,77,6552,2341,1804,3608,326,85,23,3450,134,NA,30745,6151,55
2020-12-29,22,16,14,0,677,77,6613,2433,1820,3629,331,38,14,3472,132,NA,31058,6211,61
2020-12-30,21,20,15,1,712,78,6683,2398,1829,3651,341,41,16,3444,134,NA,31251,6274,70
2020-12-31,28,21,13,0,713,78,6715,2261,1839,3688,328,49,13,3449,132,NA,31499,6309,32
2021-01-01,22,15,9,1,701,77,6745,2183,1851,3702,343,37,10,3445,134,NA,31622,6337,30
2021-01-02,29,10,12,1,707,77,6792,2187,1864,3714,355,39,13,3449,135,NA,31774,6384,47
2021-01-03,18,16,15,3,717,77,6839,2214,1878,3720,371,34,18,3465,138,NA,31972,6424,47
2021-01-04,18,13,27,1,737,76,6909,2281,1899,3736,392,31,28,3481,137,NA,32212,6488,70
2021-01-05,31,11,19,4,724,77,6957,2320,1911,3756,419,42,23,3501,137,NA,32500,6539,48
2021-01-06,21,8,7,0,710,78,6993,2250,1928,3791,413,29,7,3479,133,NA,32699,6572,36
2021-01-07,14,19,6,2,710,78,7032,2104,1943,3846,381,33,8,3448,132,NA,32927,6612,39
2021-01-08,17,21,12,0,701,78,7073,1993,1960,3891,379,38,12,3426,137,NA,33078,6645,41
2021-01-09,9,7,7,1,696,78,7117,1891,1978,3914,377,16,8,3430,138,NA,33222,6680,44
2021-01-10,12,12,11,1,702,77,7147,1868,1988,3927,373,24,12,3422,135,NA,33334,6708,30
2021-01-11,21,14,8,0,695,77,7177,1910,2000,3949,382,35,8,3450,133,NA,33580,6740,30
2021-01-12,20,23,13,0,705,78,7230,1975,2018,3983,381,43,13,3462,134,NA,33900,6789,53
2021-01-13,27,16,7,3,704,77,7270,1943,2027,4018,371,43,10,3440,137,NA,34168,6825,40
2021-01-14,15,10,8,1,701,77,7306,1877,2037,4035,383,25,9,3395,134,NA,34327,6864,36
2021-01-15,16,14,12,0,692,78,7346,1792,2050,4075,376,30,12,3377,132,NA,34465,6906,40
2021-01-16,19,9,5,1,682,77,7376,1772,2057,4099,376,28,6,3394,133,NA,34585,6931,30
2021-01-17,19,19,10,0,684,77,7405,1748,2071,4107,377,38,10,3416,134,NA,34761,6957,29
2021-01-18,23,18,18,2,695,77,7454,1803,2081,4119,397,41,20,3434,135,NA,34979,7006,49
2021-01-19,16,18,10,0,679,77,7482,1793,2100,4161,383,34,10,3436,136,NA,35180,7034,28
2021-01-20,22,14,8,1,666,77,7507,1758,2107,4199,372,36,9,3443,136,NA,35405,7060,25
2021-01-21,30,18,11,1,669,77,7545,1765,2119,4232,365,48,12,3463,139,NA,35602,7096,38
2021-01-22,12,17,14,1,669,76,7590,1784,2133,4258,362,29,15,3444,136,NA,35776,7146,45
2021-01-23,10,8,7,0,664,76,7622,1732,2148,4281,364,18,7,3455,134,NA,35891,7179,32
2021-01-24,16,13,7,1,663,76,7659,1717,2156,4304,363,29,8,3460,134,NA,36039,7215,37
2021-01-25,14,18,13,2,659,76,7694,1771,2171,4321,385,32,15,3434,132,NA,36169,7246,35
2021-01-26,13,15,10,2,672,76,7743,1789,2182,4347,385,28,12,3476,135,NA,36422,7296,49
2021-01-27,10,14,10,0,654,77,7775,1668,2196,4382,377,24,10,3452,133,NA,36548,7326,32
2021-01-28,12,17,13,1,645,76,7808,1633,2208,4411,372,29,14,3459,133,NA,36713,7359,33
2021-01-29,15,17,11,2,650,76,7853,1640,2220,4437,382,32,13,3445,136,NA,36878,7402,45
2021-01-30,14,6,5,0,628,76,7874,1633,2232,4459,383,20,5,3443,130,NA,37010,7426,21
2021-01-31,15,13,11,0,645,77,7909,1664,2241,4470,380,28,11,3457,132,NA,37129,7460,35
2021-02-01,20,19,6,0,641,76,7942,1719,2249,4489,397,39,6,3474,132,NA,37307,7488,33
2021-02-02,14,16,8,1,631,76,7974,1721,2268,4522,400,30,9,3206,133,NA,37264,7522,32
2021-02-03,8,9,9,2,615,76,8007,1654,2281,4555,400,17,11,3169,136,NA,37378,7553,33
2021-02-04,15,16,10,0,593,77,8032,1608,2291,4594,391,31,10,3171,134,NA,37516,7580,25
2021-02-05,14,12,7,0,574,76,8060,1608,2302,4630,392,26,7,3181,135,NA,37690,7605,28
2021-02-06,11,13,5,0,550,75,8078,1551,2308,4657,390,24,5,3183,136,NA,37816,7622,18
2021-02-07,8,8,3,0,521,75,8090,1540,2322,4664,405,16,3,3174,133,NA,37908,7638,12
2021-02-08,12,12,10,0,529,76,8124,1603,2339,4675,423,24,10,3202,133,NA,38084,7672,34
2021-02-09,15,12,7,1,533,77,8154,1570,2344,4718,393,27,8,3206,133,NA,38280,7699,30
2021-02-10,17,9,5,0,521,76,8172,1571,2352,4747,377,26,5,3219,135,NA,38461,7716,18
2021-02-11,14,16,10,1,523,74,8205,1507,2361,4802,350,30,11,3235,139,NA,38655,7746,33
2021-02-12,11,23,9,0,521,73,8237,1468,2366,4839,337,34,9,3235,139,NA,38777,7778,32
2021-02-13,15,8,3,0,515,74,8260,1453,2376,4860,335,23,3,3233,138,NA,38905,7799,23
2021-02-14,16,17,8,2,520,74,8290,1486,2386,4868,342,33,10,3267,142,NA,39045,7823,30
2021-02-15,10,12,13,0,533,74,8327,1488,2396,4883,345,22,13,3256,140,NA,39168,7858,37
2021-02-16,12,10,5,2,520,74,8355,1529,2406,4911,350,22,7,3286,141,NA,39395,7885,28
2021-02-17,14,14,13,2,530,77,8401,1480,2410,4945,343,28,15,3260,140,NA,39515,7930,46
2021-02-18,8,14,5,1,522,77,8428,1481,2417,4964,350,22,6,3266,141,NA,39652,7956,27
2021-02-19,10,6,4,0,509,77,8454,1458,2423,4989,356,16,4,3264,137,NA,39816,7986,26
2021-02-20,12,11,12,0,513,77,8487,1407,2428,5024,340,23,12,3259,138,NA,39930,8013,33
2021-02-21,14,10,10,0,525,77,8526,1372,2434,5029,352,24,10,3253,139,NA,39999,8052,39
2021-02-22,24,19,11,1,544,77,8572,1411,2449,5090,311,43,12,3290,140,NA,40413,8097,46
2021-02-23,20,12,15,1,543,77,8615,1488,2455,5108,328,32,16,3330,145,NA,40631,8134,43
2021-02-24,8,18,7,0,536,77,8629,1460,2461,5124,327,26,7,3331,141,NA,40757,8152,14
2021-02-25,19,16,19,1,536,77,8669,1443,2472,5158,326,35,20,3328,138,NA,40919,8194,40
2021-02-26,10,16,8,0,530,76,8707,1396,2476,5181,334,26,8,3324,138,NA,41024,8229,38
2021-02-27,12,9,6,0,516,76,8730,1376,2482,5201,347,21,6,3321,138,NA,41139,8254,23
2021-02-28,17,6,11,0,526,76,8761,1356,2485,5209,354,23,11,3321,141,NA,41242,8279,31
2021-03-01,9,15,8,1,534,77,8804,1409,2493,5224,372,24,9,3339,141,NA,41403,8318,43
2021-03-02,11,17,10,0,542,77,8853,1435,2501,5261,365,28,10,3334,142,NA,41613,8364,49
2021-03-03,11,7,17,0,550,77,8909,1421,2512,5299,359,18,17,3344,140,NA,41748,8418,56
2021-03-04,13,8,19,0,554,77,8940,1365,2521,5331,351,21,19,3341,139,NA,41860,8451,31
2021-03-05,16,16,12,1,556,77,8913,1377,2526,5352,361,32,13,3357,143,NA,42039,8758,0
2021-03-06,12,13,10,0,547,77,8947,1338,2532,5377,364,25,10,3347,141,NA,42139,8794,34
2021-03-07,10,10,7,0,550,76,8979,1322,2540,5385,374,20,7,3351,144,NA,42228,8823,32
2021-03-08,19,8,8,1,561,76,9011,1405,2547,5403,371,27,9,3371,142,NA,42438,8858,32
2021-03-09,13,11,10,0,564,77,9062,1436,2559,5440,372,24,10,3382,143,NA,42605,8908,51
2021-03-10,19,9,11,1,573,77,9099,1462,2565,5467,369,28,12,3415,144,NA,42799,8946,37
2021-03-11,14,10,14,0,577,77,9144,1422,2570,5490,381,24,14,3401,143,NA,42934,8990,45
2021-03-12,15,13,10,0,579,77,9186,1444,2577,5510,391,28,10,3415,144,NA,43110,9031,42
2021-03-13,11,17,15,0,574,77,9219,1423,2586,5533,393,28,15,3414,143,NA,43228,9065,33
2021-03-14,13,10,11,1,567,77,9249,1475,2594,5541,409,23,12,3410,144,NA,43360,9095,30
2021-03-15,25,15,12,0,577,77,9295,1489,2605,5587,395,40,12,3413,142,NA,43522,9142,46
2021-03-16,12,8,21,0,581,76,9345,1499,2616,5613,406,20,21,3442,142,NA,43709,9196,50
2021-03-17,19,11,18,0,565,76,9387,1460,2629,5656,406,30,18,3428,142,NA,43886,9235,42
2021-03-18,14,13,12,0,552,76,9418,1496,2638,5684,403,27,12,3467,142,NA,44079,9262,31
2021-03-19,15,13,17,1,582,76,9479,1513,2646,5728,388,28,18,3481,143,NA,44331,9325,61
2021-03-20,18,14,6,0,581,76,9506,1492,2654,5754,372,32,6,3462,143,NA,44456,9353,27
2021-03-21,21,11,18,3,607,77,9557,1506,2662,5760,382,32,21,3456,148,NA,44562,9399,51
2021-03-22,17,11,16,0,628,77,9614,1586,2672,5770,399,28,16,3445,138,NA,44760,9465,57
2021-03-23,26,15,18,0,632,77,9664,1630,2681,5809,396,41,18,3442,138,NA,45021,9515,50
2021-03-24,18,10,16,0,629,77,9706,1624,2690,5839,403,28,16,3453,137,NA,45247,9558,42
2021-03-25,17,14,17,1,620,77,9746,1636,2699,5887,390,31,18,3466,139,NA,45462,9596,40
2021-03-26,17,9,24,1,637,76,9803,1620,2707,5914,397,26,25,3478,139,NA,45647,9653,57
2021-03-27,12,6,6,0,632,77,9834,1652,2712,5933,403,18,6,3472,137,NA,45820,9686,31
2021-03-28,18,5,13,0,646,76,9881,1632,2721,5949,406,23,13,3463,136,NA,45914,9735,47
2021-03-29,31,16,18,1,673,77,9942,1689,2730,5974,412,47,19,3476,136,NA,46192,9795,61
2021-03-30,19,16,15,3,676,77,9991,1762,2743,6009,413,35,18,3494,138,NA,46490,9842,49
2021-03-31,17,9,20,0,679,76,10041,1720,2751,6041,415,26,20,3506,134,NA,46663,9896,50
2021-04-01,29,13,13,1,676,76,10091,1744,2765,6077,415,42,14,3527,134,NA,46888,9945,50
2021-04-02,18,14,27,1,707,77,10162,1689,2782,6126,393,32,28,3514,135,NA,47111,10015,71
2021-04-03,21,5,11,1,717,77,10213,1642,2786,6148,391,26,12,3511,134,NA,47240,10065,51
2021-04-04,19,7,20,0,733,77,10266,1619,2793,6173,397,26,20,3519,135,NA,47340,10119,53
2021-04-05,19,15,15,2,742,77,10312,1698,2796,6186,416,34,17,3521,136,NA,47533,10164,46
2021-04-06,20,13,19,1,761,76,10385,1715,2813,6213,435,33,20,3522,135,NA,47783,10238,73
2021-04-07,25,5,21,0,768,76,10434,1745,2823,6242,440,30,21,3535,136,NA,48018,10289,49
2021-04-08,16,13,17,0,791,77,10502,1681,2839,6284,431,29,17,3536,139,NA,48199,10351,68
2021-04-09,20,9,18,0,784,77,10542,1642,2853,6322,425,29,18,3543,135,NA,48403,10396,40
2021-04-10,22,9,14,1,777,77,10587,1666,2864,6345,428,31,15,3556,138,NA,48623,10437,45
2021-04-11,22,7,21,0,784,77,10639,1696,2876,6359,447,29,21,3529,138,NA,48746,10490,52
2021-04-12,35,13,19,0,789,77,10708,1736,2892,6369,484,48,19,3534,138,NA,49009,10560,69
2021-04-13,19,12,17,0,781,78,10760,1684,2909,6402,504,31,17,3565,137,NA,49219,10612,52
2021-04-14,21,8,23,0,779,77,10811,1615,2922,6444,498,29,23,3544,138,NA,49361,10665,51
2021-04-15,33,22,20,0,787,77,10862,1611,2942,6495,478,55,20,3582,137,NA,49594,10715,51
2021-04-16,1,3,0,0,775,77,10872,1588,2945,6500,477,4,0,3584,137,NA,49763,10725,10
2021-04-17,23,6,19,0,796,77,10970,1611,2967,6545,492,29,19,3571,137,NA,49916,10822,98
2021-04-18,27,5,17,0,796,77,11021,1618,2976,6555,517,32,17,3563,137,NA,50023,10873,51
2021-04-19,29,13,20,0,804,77,11087,1739,2988,6574,557,42,20,3587,136,NA,50244,10940,66
2021-04-20,26,8,23,2,824,77,11164,1793,3004,6607,555,34,25,3604,139,NA,50581,11014,77
2021-04-21,27,6,17,0,817,77,11208,1830,3014,6661,532,33,17,3608,136,NA,50852,11055,44
2021-04-22,26,5,18,1,828,77,11263,1754,3031,6705,517,31,19,3605,136,NA,51040,11114,55
2021-04-23,24,7,23,2,836,77,11315,1746,3041,6753,510,31,25,3627,137,NA,51264,11165,52
2021-04-24,23,6,14,0,827,76,11367,1706,3055,6785,501,29,14,3616,139,NA,51407,11215,52
2021-04-25,11,3,18,0,835,76,11421,1681,3067,6797,530,14,18,3612,139,NA,51468,11269,54
2021-04-26,13,10,15,1,820,77,11471,1765,3082,6849,534,23,16,3634,138,NA,51803,11320,50
2021-04-27,22,16,14,0,818,77,11517,1781,3091,6887,534,38,14,3638,138,NA,51985,11366,46
2021-04-28,17,6,16,0,824,77,11575,1723,3104,6928,536,23,16,3642,137,NA,52176,11425,58
2021-04-29,28,12,23,0,809,77,11630,1780,3119,6977,541,40,23,3646,135,NA,52455,11482,55
2021-04-30,28,11,13,0,805,77,11687,1781,3136,7050,508,39,13,3638,137,NA,52707,11537,57
2021-05-01,20,6,9,0,796,77,11733,1752,3148,7073,524,26,9,3631,137,NA,52854,11583,46
2021-05-02,16,11,27,0,810,77,11788,1742,3159,7085,540,27,27,3629,137,NA,52986,11638,55
2021-05-03,30,12,18,1,817,77,11852,1814,3181,7122,544,42,19,3646,137,NA,53237,11702,64
2021-05-04,19,6,16,0,822,77,11903,1820,3197,7168,535,25,16,3648,136,NA,53506,11755,51
2021-05-05,20,10,15,0,809,77,11953,1744,3209,7206,540,30,15,3660,137,NA,53670,11803,50
2021-05-06,21,7,20,0,806,78,12012,1706,3231,7233,563,28,20,3666,140,NA,53806,11859,59
2021-05-07,17,6,15,0,789,78,12045,1718,3240,7291,538,23,15,3677,141,NA,54029,11891,33
2021-05-08,20,5,7,1,771,77,12081,1668,3258,7327,534,25,8,3665,143,NA,54222,11924,36
2021-05-09,20,8,5,0,758,77,12113,1636,3268,7350,544,28,5,3661,141,NA,54292,11958,32
2021-05-10,22,11,14,1,758,77,12164,1640,3281,7383,555,33,15,3655,142,NA,54474,12009,51
2021-05-11,27,10,18,1,740,78,12205,1642,3295,7439,543,37,19,3673,140,NA,54734,12051,41
2021-05-12,20,11,11,0,728,78,12249,1564,3308,7507,521,31,11,3693,140,NA,54917,12095,44
2021-05-13,21,6,7,1,716,78,12277,1479,3314,7548,503,27,8,3687,140,NA,55014,12123,28
2021-05-14,16,11,13,0,722,78,12320,1440,3324,7567,516,27,13,3682,139,NA,55110,12167,43
2021-05-15,18,6,8,0,704,78,12349,1409,3334,7601,516,24,8,3672,143,NA,55222,12192,29
2021-05-16,14,2,6,0,680,78,12373,1384,3349,7619,531,16,6,3683,143,NA,55340,12216,24
2021-05-17,15,9,8,0,676,78,12403,1447,3357,7650,529,24,8,3681,139,NA,55552,12250,30
2021-05-18,20,9,7,0,647,78,12440,1415,3367,7705,528,29,7,3698,141,NA,55768,12284,37
2021-05-19,8,8,8,1,631,77,12476,1305,3382,7755,511,16,9,3684,141,NA,55852,12320,36
2021-05-20,17,6,11,1,620,77,12503,1242,3388,7801,495,23,12,3695,141,NA,55969,12347,27
2021-05-21,15,4,6,1,599,78,12520,1185,3399,7841,477,19,7,3697,140,NA,56078,12365,17
2021-05-22,16,3,7,0,590,77,12543,1173,3406,7879,460,19,7,3698,140,NA,56177,12388,23
2021-05-23,8,5,3,0,586,76,12562,1124,3412,7893,462,13,3,3698,140,NA,56226,12407,19
2021-05-24,12,4,12,1,593,77,12589,1152,3417,7897,469,16,13,3704,141,NA,56305,12433,27
2021-05-25,12,5,3,0,580,77,12622,1113,3432,7917,484,17,3,3707,143,NA,56407,12464,33
2021-05-26,12,9,5,0,553,77,12637,1052,3446,7970,466,21,5,3706,143,NA,56496,12478,15
2021-05-27,7,7,6,0,536,77,12655,977,3449,8007,460,14,6,3705,142,NA,56553,12497,18
2021-05-28,8,5,5,0,516,77,12668,949,3459,8093,389,13,5,3703,142,NA,56741,12511,13
2021-05-29,6,2,1,0,497,76,12676,918,3469,8121,381,8,1,3705,142,NA,56791,12519,8
2021-05-30,3,2,4,0,485,76,12687,881,3472,8134,384,5,4,3706,142,NA,56819,12530,11
2021-05-31,13,2,0,0,471,76,12699,904,3478,8154,390,15,0,3706,141,NA,56928,12543,12
2021-06-01,5,2,3,0,447,76,12711,861,3491,8197,363,7,3,3821,141,NA,57145,12555,12
2021-06-02,8,4,2,0,416,76,12722,825,3500,8225,368,12,2,3829,141,NA,57204,12566,11
2021-06-03,7,3,1,0,391,76,12729,798,3505,8257,361,10,1,3785,141,NA,57208,12573,7
2021-06-04,7,11,2,0,374,76,12737,778,3511,8281,349,18,2,3796,142,NA,57275,12581,8
2021-06-05,7,5,0,0,362,76,12737,768,3517,8292,347,12,0,3797,141,NA,57316,12582,0
2021-06-06,2,3,1,0,354,76,12742,770,3523,8296,347,5,1,3802,142,NA,57342,12586,5
2021-06-07,7,11,1,1,345,74,12753,783,3526,8324,339,18,2,3806,143,NA,57437,12596,11
2021-06-08,5,5,1,0,326,75,12759,755,3535,8357,320,10,1,3758,144,NA,57441,12601,6
2021-06-09,5,8,3,0,313,74,12767,725,3541,8379,315,13,3,3761,144,NA,57478,12609,8
2021-06-10,8,7,2,0,305,73,12778,635,3545,8417,290,15,2,3813,145,NA,57557,12619,11
2021-06-11,3,3,3,0,288,73,12783,626,3550,8437,289,6,3,3817,145,NA,57583,12624,5
2021-06-12,0,3,1,0,282,73,12786,584,3551,8456,274,3,1,3812,145,NA,57590,12627,3
2021-06-13,4,1,0,1,280,74,12792,583,3554,8460,273,5,1,3812,146,NA,57618,12632,6
2021-06-14,2,6,1,0,264,74,12797,567,3555,8486,272,8,1,3827,142,NA,57675,12641,5
2021-06-15,3,5,1,0,254,74,12804,523,3561,8496,273,8,1,3822,143,NA,57704,12648,7
2021-06-16,3,4,1,0,236,72,12807,487,3563,8523,261,7,1,3729,142,NA,57638,12651,3
2021-06-17,3,5,1,0,228,72,12814,482,3571,8548,250,8,1,3742,142,NA,57674,12657,7
2021-06-18,3,7,0,0,218,73,12817,477,3577,8585,216,10,0,3748,142,NA,57702,12661,3
2021-06-19,0,1,0,1,208,73,12818,450,3579,8593,214,1,1,3739,143,NA,57707,12661,1
2021-06-20,2,4,0,0,207,72,12822,451,3579,8594,218,6,0,3742,142,NA,57716,12666,4
2021-06-21,2,7,1,0,193,70,12827,452,3581,8608,220,9,1,3738,138,NA,57744,12673,5
2021-06-22,4,8,0,0,185,69,12823,416,3584,8631,200,12,0,3747,131,NA,57776,12676,0
2021-06-23,1,3,0,0,180,67,12830,401,3586,8646,193,4,0,3746,132,NA,57789,12682,7
2021-06-24,0,1,0,0,168,66,12833,371,3588,8652,199,1,0,3735,132,NA,57780,12685,3
2021-06-25,2,2,0,1,162,65,12837,363,3590,8674,184,4,1,3741,134,NA,57798,12686,4
2021-06-26,0,1,0,0,157,65,12835,357,3593,8682,175,1,0,3742,133,NA,57809,12688,0
2021-06-27,0,1,0,0,155,65,12835,360,3594,8683,175,1,0,3745,132,NA,57818,12688,0
2021-06-28,0,2,1,0,153,65,12840,350,3600,8689,174,2,1,3756,133,NA,57834,12692,5
2021-06-29,3,2,0,0,139,59,12841,331,3602,8719,152,5,0,3751,133,NA,57851,12693,1
2021-06-30,0,0,1,0,137,60,12843,316,3604,8738,137,0,1,3752,132,NA,57863,12695,2
2021-07-01,1,0,0,1,125,58,12844,292,3607,8749,135,1,1,3737,133,NA,57854,12695,1
2021-07-02,0,6,0,0,112,52,12846,295,3608,8769,128,6,0,3746,132,NA,57868,12697,2
2021-07-03,0,1,0,0,110,53,12845,298,3608,8772,125,1,0,3748,132,NA,57873,12696,0
2021-07-04,0,0,0,1,113,53,12848,291,3608,8772,125,0,1,3745,133,NA,57870,12698,3
2021-07-05,0,0,1,0,113,53,12853,292,3609,8774,128,0,1,3747,135,NA,57881,12701,5
2021-07-06,2,4,0,0,107,51,12854,289,3610,8783,123,6,0,3750,136,NA,57890,12701,1
2021-07-07,0,0,0,0,103,52,12854,210,3615,8824,85,0,0,3745,135,NA,57875,12704,0
2021-07-08,0,1,0,0,94,48,12855,208,3619,8832,82,1,0,3747,137,NA,57887,12703,1
2021-07-09,2,2,0,0,89,47,12854,206,3619,8839,79,4,0,3749,137,NA,57895,12703,0
2021-07-10,0,1,0,0,86,44,12856,203,3619,8840,82,1,0,3750,137,NA,57903,12705,2
2021-07-11,1,0,2,0,87,43,12858,203,3619,8841,83,1,2,3750,137,NA,57906,12707,2
2021-07-12,3,3,2,0,88,44,12866,218,3623,8845,83,6,2,3762,137,NA,57941,12715,8
2021-07-13,2,4,3,0,84,42,12871,238,3623,8849,83,6,3,3773,136,NA,57980,12718,5
2021-07-14,1,7,1,0,83,43,12874,245,3623,8854,82,8,1,3778,136,NA,57997,12721,3
2021-07-15,7,0,2,0,78,41,12875,257,3624,8858,83,7,2,3786,135,NA,58035,12723,1
2021-07-16,4,0,1,0,78,40,12881,273,3624,8863,83,4,1,3795,137,NA,58076,12728,6
2021-07-17,1,1,1,0,82,41,12887,272,3624,8866,82,2,1,3786,137,NA,58081,12733,6
2021-07-18,3,0,0,0,83,42,12889,284,3624,8867,82,3,0,3791,138,NA,58103,12734,2
2021-07-19,8,2,4,0,87,47,12901,298,3626,8871,83,10,4,3787,138,NA,58153,12747,12
2021-07-20,7,6,4,0,95,51,12920,377,3628,8878,84,13,4,3808,136,NA,58269,12767,19
2021-07-21,2,4,6,0,104,51,12933,408,3629,8883,82,6,6,3807,136,NA,58344,12780,13
2021-07-22,2,1,1,0,101,50,12937,401,3631,8881,85,3,1,3807,136,NA,58389,12784,4
2021-07-23,7,3,3,1,109,52,12953,420,3632,8891,82,10,4,3803,138,NA,58481,12798,16
2021-07-24,5,0,4,0,116,52,12968,438,3634,8898,81,5,4,3792,136,NA,58519,12815,15
2021-07-25,1,4,1,0,128,57,12982,433,3634,8899,83,5,1,3797,136,NA,58543,12829,14
2021-07-26,13,2,5,0,144,59,13011,493,3636,8907,87,15,5,3798,137,NA,58659,12857,29
2021-07-27,9,6,4,1,153,62,13029,548,3638,8919,83,15,5,3811,137,NA,58780,12875,18
2021-07-28,13,6,5,1,158,68,13024,552,3636,8905,86,19,6,3830,138,NA,58569,12870,0
2021-07-29,5,5,3,0,171,67,13047,518,3636,8915,85,10,3,3829,138,NA,58613,12892,23
2021-07-30,8,4,8,0,176,68,13064,505,3638,8922,88,12,8,3822,137,NA,58670,12910,17
2021-07-31,4,2,2,0,171,67,13076,496,3638,8929,96,6,2,3818,137,NA,58723,12922,12
2021-08-01,3,2,2,0,170,66,13084,514,3638,8931,101,5,2,3821,136,NA,58757,12929,8
2021-08-02,2,6,7,0,197,69,13118,551,3639,8934,106,8,7,3829,137,NA,58855,12963,34
2021-08-03,4,2,2,0,191,70,13130,526,3639,8949,111,6,2,3828,136,NA,58909,12976,12
2021-08-04,5,2,4,1,197,70,13145,518,3641,8963,100,7,5,3844,138,NA,58982,12990,15
2021-08-05,5,4,4,3,202,72,13167,483,3643,8978,101,9,7,3850,140,NA,59038,13010,22
2021-08-06,2,2,1,0,209,72,13184,482,3643,8983,105,4,1,3850,139,NA,59086,13028,17
